;;;;;;;;
;;;;;;;;
Numero; Tiempo1; Tiempo2; Tiempo3; Tiempo 4;;;Número;Promedio algoritmo 1
10000;0;0;102;0;;;;
10000;0;102;0;0;;;;
10000;102;0;102;0;;;;
10000;0;102;0;0;;;;
10000;0;0;102;0;;;;
100000;307;614;614;0;;;;
100000;307;409;409;0;;;;
100000;307;1024;614;0;;;;
100000;204;512;512;0;;;;
100000;204;512;409;0;;;;
1000000;1945;3174;2764;0;;;;
1000000;1638;2969;2662;0;;;;
1000000;1331;3276;2764;0;;;;
1000000;1536;2969;2764;0;;;;
1000000;1331;2969;2867;0;;;;
10000000;16076;28364;32153;0;;;;
10000000;20070;38400;31846;0;;;;
10000000;15155;28467;26214;0;;;;
10000000;19865;33484;33075;0;;;;
10000000;16179;30208;31539;0;;;;
100000000;153497;329523;294502;0;;;;
100000000;119193;325324;291840;0;;;;
100000000;131379;280883;292864;0;;;;
100000000;129740;306892;287846;0;;;;
100000000;130867;327270;264908;0;;;;
